and , https://en.wiktionary.org/w/index.php?title=and/translations&action=edit&section=2
also, https://en.wiktionary.org/w/index.php?title=also&action=edit&section=8
every, https://en.wiktionary.org/w/index.php?title=every&action=edit&section=10
all_determiner, https://en.wiktionary.org/w/index.php?title=all&action=edit&section=6
all_adverb, https://en.wiktionary.org/w/index.php?title=all&action=edit&section=11
each_determiner, https://en.wiktionary.org/w/index.php?title=each&action=edit&section=7
each_adverb, https://en.wiktionary.org/w/index.php?title=each&action=edit&section=9
any_pronoun, https://en.wiktionary.org/w/index.php?title=any&action=edit&section=12
everybody, https://en.wiktionary.org/w/index.php?title=everybody&action=edit&section=11
everyone, https://en.wiktionary.org/w/index.php?title=everyone&action=edit&section=11
anybody, https://en.wiktionary.org/w/index.php?title=anybody&action=edit&section=8
whoever, https://en.wiktionary.org/w/index.php?title=whoever&action=edit&section=7
everything,https://en.wiktionary.org/w/index.php?title=everything&action=edit&section=10
anything_pronoun,https://en.wiktionary.org/w/index.php?title=anything&action=edit&section=6
anything_noun, https://en.wiktionary.org/w/index.php?title=anything&action=edit&section=9
whatever_determiner,https://en.wiktionary.org/w/index.php?title=whatever&action=edit&section=6
wherever_conjunction, https://en.wiktionary.org/w/index.php?title=wherever&action=edit&section=10
anywhere, https://en.wiktionary.org/w/index.php?title=anywhere&action=edit&section=7
everywhere, https://en.wiktionary.org/w/index.php?title=everywhere&action=edit&section=9

